Time,output
1300,1667.38
1301,1576.97
1302,1343.42
1303,1240.99
1304,1192.08
1305,1203.11
1306,1423.52
1307,2418.86
1308,2584.04
1309,2731.99
1310,2881.12
1311,2971.73
1312,2914.04
1313,2572.26
1314,2824.3
1315,2985.53
1316,2781.58
1317,2959.07
1318,2200.01
1319,2136.58
1320,2113.6
1321,2236.52
1322,1962.71
1323,1865.6
1324,1836.7
1325,1961.58
1326,2326.03
1327,1929.16
1328,1917.49
1329,2147.73
1330,1963.61
1331,2855.03
1332,2982
1333,2456.16
1334,2744.42
1335,2380.96
1336,2656.39
1337,2589.3
1338,2267.62
1339,1374.98
1340,1319.56
1341,1173.26
1342,1041.78
1343,941.18
1344,880.66
1345,863.36
1346,882.69
1347,931.5
1348,975.78
1349,1025.73
1350,1042.79
1351,1023.3
1352,1026.88
1353,1112.23
1354,1179.73
1355,1203.58
1356,1535.06
1357,1471.58
1358,1184.34
1359,982.46
1400,843.42
1401,757.88
1402,719.84
1403,701.65
1404,678.78
1405,662.87
1406,646.84
1407,642.3
1408,670.43
1409,712.3
1410,737.48
1411,781.96
1412,797.31
1413,803.86
1414,801.92
1415,779.38
1416,777.66
1417,836.2
1418,880.58
1419,878.78
1420,887.89
1421,935.06
1422,1023.25
1423,1156.41
1424,1611.07
1425,1899.7
1426,1821.12
1427,1649.85
1428,1653.75
1429,1634.03
1430,1652.65
1431,1688.97
1432,1862.92
1433,2194.2
1434,1764.06
1435,1615.03
1436,1591.49
1437,1444.55
1438,1380.32
1439,1301.26
1440,1220.69
1441,1178.34
1442,1167.61
1443,1176.1
1444,1223.2
1445,1364.54
1446,1466.82
1447,1616.22
1448,1370.68
1449,1328.88
1450,1380.95
1451,1826.62
1452,2081.15
1453,2111.18
1454,1906.36
1455,1987.52
1456,2324.73
1457,1956.53
1458,2242.22
1459,2024.51
1500,2106.45
1501,1770.44
1502,1357.36
1503,1461.85
1504,1374.01
1505,1256.7
1506,1228.45
1507,1290.32
1508,1284
1509,1204.12
1510,1156.61
1511,1111.44
1512,1077.21
1513,1044.11
1514,1014.45
1515,995.97
1516,998.67
1517,1022.32
1518,1053.39
1519,1065.35
1520,1054.47
1521,970.49
1522,938.08
1523,898.66
1524,856.05
1525,817.36
1526,790.09
1527,773.7
1528,754.44
1529,726.2
1530,692.76
1531,656.57
1532,608.39
1533,559.78
1534,527.15
1535,529.24
1536,564.52
1537,612.49
1538,646.93
1539,643.02
1540,634.2
1541,609.27
1542,594.5
1543,570.34
1544,545.03
1545,540.26
1546,549.74
1547,542.67
1548,507.7
1549,455.32
1550,407.5
1551,366.32
1552,333.68
1553,308.59
1554,287.43
1555,271.36
1556,260.64
1557,254.17
1558,248.06
1559,243.99
1600,240.79
1601,237.32
1602,232.33
1603,229.35
1604,228.95
1605,229.5
1606,228.08
1607,225.72
1608,225.26
1609,226.16
1610,229.8
1611,235.4
1612,240.31
1613,244.79
1614,249.32
1615,237.59
1616,241.65
1617,243.16
1618,244.09
1619,240.43
1620,236.84
1621,231.13
1622,227.75
1623,226.82
1624,223.01
1625,214.56
1626,201.44
1627,196.6
1628,199.21
1629,210.24
1630,223.44
1631,232.59
1632,240.5
1633,245.56
1634,247.31
1635,246.13
1636,242.59
1637,238.62
1638,235.64
1639,232.49
1640,228.65
1641,225.56
1642,221.2
1643,218.04
1644,214.85
1645,215.41
1646,213.63
1647,214.1
1648,212.36
1649,208.42
1650,203.67
1651,200.03
1652,197.61
1653,198.09
1654,198.53
1655,201.21
1656,203.3
1657,201.73
1658,196.01
1659,186.94
1700,176.18
1701,164.73
1702,154.05
1703,145.08
1704,138.95
1705,135.23
1706,134.22
1707,133.54
1708,132.69
1709,130.48
1710,128.56
1711,124.96
1712,122.1
1713,118.29
1714,115.21
1715,112.4
1716,112.29
1717,112.72
1718,113.71
1719,116.42
1720,119.98
1721,122.86
1722,118.42
1723,123.95
1724,123.91
1725,123.94
1726,123.91
1727,123.11
1728,120.75
1729,118.19
1730,115.75
1731,111.86
1732,107.1
1733,93.9
1734,89.07
1735,91.96
1736,90.69
1737,91.1
1738,90.97
1739,91.7
1740,93.33
1741,95.43
1742,94.65
1743,93.16
1744,90.92
1745,86.53
1746,75.97
1747,72.13
1748,51.45
1749,52.19
1750,43.41
1751,35.45
1752,36.62
1753,29.66
1754,26.65
1755,23.87
1756,21.58
1757,19.32
1758,17.07
1759,13.76
1800,13.11
1801,11.57
1802,11.05
1803,9.91
1804,8.57
1805,7.4
1806,6.31
1807,4.58
1808,3
1809,2.61
1810,1.64
1811,1.39
1812,1.21
1813,0.78
1814,0.63
1815,0.48
1816,0.32
1817,0.29
1818,0.18
1819,0.17
1820,0.13
1821,0.11
1822,0.1
1823,0.1
1824,0.11
1825,0.09
1826,0.11
1827,0.1
1828,0.1
1829,0.1
1830,0.1
1831,0.09
1832,0.09
1833,0.09
1834,0.09
1835,0.1
1836,0.1
1837,0.11
1838,0.09
1839,0.14
1840,0.14
1841,0.13
1842,0.17
1843,0.19
1844,0.19
1845,0.18
1846,0.21
1847,0.2
1848,0.21
1849,0.2
1850,0.21
1851,0.22
1852,0.24
1853,0.24
1854,0.24
1855,0.24
1856,0.23
1857,0.24
1858,0.24
1859,0.24
1900,0.24
1300,4416.62
1301,4383.45
1302,4400.67
1303,4414.93
1304,4416.95
1305,4421.58
1306,4399.04
1307,4360.65
1308,4385.31
1309,4390.62
1310,4373.97
1311,4371.53
1312,4369.91
1313,4369.1
1314,4361.14
1315,4324.2
1316,4289.14
1317,4302.6
1318,4301.04
1319,4302.21
1320,4363.14
1321,4365.52
1322,4350.19
1323,4329.7
1324,4325.37
1325,4333.81
1326,4316.58
1327,4305.49
1328,4292.7
1329,4270.5
1330,4253.17
1331,4275.05
1332,4243.87
1333,4224.71
1334,4198.84
1335,4197.36
1336,4185.63
1337,4184.46
1338,4164.53
1339,4188.48
1340,4160.9
1341,4183.12
1342,4140.21
1343,4117.23
1344,4114.58
