Time,output
400,0.26
401,0.24
402,0.24
403,0.23
404,0.24
405,0.25
406,0.23
407,0.24
408,0.25
409,0.27
410,0.25
411,0.23
412,0.24
413,0.24
414,0.24
415,0.23
416,0.24
417,0.24
418,0.24
419,0.25
420,0.24
421,0.25
422,0.23
423,0.24
424,0.24
425,0.24
426,0.23
427,0.23
428,0.23
429,0.24
430,0.24
431,0.25
432,0.24
433,0.25
434,0.25
435,0.24
436,0.25
437,0.24
438,0.25
439,0.24
440,0.23
441,0.24
442,0.23
443,0.24
444,0.25
445,0.26
446,0.24
447,0.25
448,0.24
449,0.23
450,0.21
451,0.19
452,0.18
453,0.18
454,0.5
455,0.88
456,0.64
457,0.82
458,0.63
459,0.77
500,1.07
501,1.6
502,2.09
503,2.81
504,3.78
505,4.96
506,5.99
507,6.62
508,7.76
509,9.3
510,11.32
511,12.73
512,13.84
513,15.05
514,15.85
515,18.69
516,20.77
517,22.67
518,24.18
519,25.82
520,28
521,30.56
522,34.33
523,62.13
524,80.47
525,105.97
526,119.06
527,148.81
528,164.2
529,177.69
530,190.15
531,198.49
532,205.35
533,208
534,208.54
535,209.08
536,215.83
537,247.08
538,242.71
539,206.52
540,217.69
541,223.37
542,232.6
543,253.29
544,282.38
545,311.32
546,395.09
547,474.97
548,423.36
549,320.77
550,339.06
551,336.69
552,325.65
553,287.96
554,261.48
555,265
556,268.79
557,327.92
558,405.17
559,512.63
600,550.53
601,629.7
602,837.29
603,753.98
604,747.06
605,485.25
606,426.21
607,453.94
608,519.68
609,559.71
610,600.97
611,641.09
612,653.99
613,667.72
614,657.31
615,659.51
616,697.62
617,628.89
618,601.31
619,530.08
620,462.55
621,399.77
622,376.25
623,361.77
624,361.17
625,372.05
626,439.15
627,566.54
628,589.92
629,572.84
630,543.11
631,594.64
632,582.79
633,535.19
634,481.4
635,452.38
636,451
637,534.65
638,537.7
639,673.6
640,828.32
641,995.78
642,1144.46
643,1359.88
644,1318.34
645,1252.06
646,1689.05
647,1888.75
648,1806.63
649,1809.52
650,1422.53
651,1119.49
652,1279.88
653,1766.89
654,866.45
655,1673.48
656,1686.52
657,1384.56
658,1069.04
659,1577.92
700,1741.62
701,1716.86
702,1725.24
703,1697.49
704,1600.99
705,1605.45
706,1717.18
707,1755.25
708,1708.81
709,1684.77
710,1662.83
711,1675.23
712,1282.32
713,1007.99
714,985.31
715,818.72
716,750.26
717,804.38
718,918.41
719,1077.46
720,1509.68
721,1227.45
722,1855.83
723,1857.47
724,2231.57
725,2534.04
726,1826.5
727,1666.46
728,1779.66
729,2024.15
730,2019.67
731,2258.34
732,2067.59
733,2421.2
734,2196.34
735,2141
736,1762.93
737,1604.75
738,1051.37
739,1091.77
740,1391.78
741,1826.11
742,2432.64
743,2829.21
744,1951.41
745,1920.51
746,1833.38
747,2724.87
748,2790.25
749,2435.9
750,1650.64
751,1578.79
752,1725.48
753,1787.73
754,1811.35
755,1989.6
756,2168.65
757,1933.02
758,1995.68
759,1860.79
800,2241.02
801,2831.3
802,2297.75
803,2553.77
804,2166.42
805,1807.79
806,1966.24
807,1724.09
808,1904.72
809,1702.86
810,1990.22
811,2552.51
812,2442.81
813,2609.34
814,2912.13
815,2936.03
816,2952.39
817,2597.61
818,2081.81
819,3175.52
820,3197.46
821,2719.33
822,2830.73
823,2970.08
824,1980.79
825,2014.5
826,2421.02
827,2349.04
828,2309.25
829,2895.22
830,2710.74
831,2396.45
832,2021.27
833,2282.47
834,2401.34
835,2246.25
836,2275.39
837,2763.01
838,2257.68
839,2293.49
840,2563.87
841,3107.94
842,2222.09
843,2476.9
844,2163.99
845,2058.03
846,2212.06
847,3063.09
848,2106.88
849,2048.85
850,2896.83
851,3243.9
852,3717.95
853,3681.78
854,2826.22
855,3010.16
856,2409.56
857,2069.44
858,1852.16
859,1847.37
900,1891.32
901,3025.6
902,3120.51
903,3588.21
904,3488.85
905,3522.95
906,3847.63
907,3589.91
908,3523.34
909,3495.98
910,3522.94
911,3626.32
912,3687.38
913,3817.03
914,3916.5
