Time,output
1300,4339.36
1301,4336.2
1302,4325.63
1303,4316.32
1304,4312.27
1305,4302.33
1306,4294.51
1307,4293.25
1308,4288.4
1309,4273.12
1310,4258.21
1311,4252.25
1312,4250
1313,4235.72
1314,4232.87
1315,4233.82
1316,4232.99
1317,4232.88
1318,4240.13
1319,4237.86
1320,4237.98
1321,4236.25
1322,4231.32
1323,4233.35
1324,4222.06
1325,4222.03
1326,4219.08
1327,4214.35
1328,4215.97
1329,4206.42
1330,4195.46
1331,4198.93
1332,4179.41
1333,4162.99
1334,4159.22
1335,4150.84
1336,4145.43
1337,4136.01
1338,4130.18
1339,4117.31
1340,4108.29
1341,4092.55
1342,4089.23
1343,4082.82
1344,4074.44
1345,4072.43
1346,4064.85
1347,4051.28
1348,4034.29
1349,4038.12
1350,4035.07
1351,4024.11
1352,4028.34
1353,4022.87
1354,4015.04
1355,4005.48
1356,3995.94
1357,3984.05
1358,3975.18
1359,3972.49
1400,3964.72
1401,3956.76
1402,3944.73
1403,3932.79
1404,3923.51
1405,3916.08
1406,3876.44
1407,3874.33
1408,3872.28
1409,3873.69
1410,3870.47
1411,3872.2
1412,3864.34
1413,3858.48
1414,3850.23
1415,3842.89
1416,3833.33
1417,3806.54
1418,3797.8
1419,3808.97
1420,3799.75
1421,3820.53
1422,3791.55
1423,3778.94
1424,3758.08
1425,3746.95
1426,3740.6
1427,3734.5
1428,3706.63
1429,3691.9
1430,3662.99
1431,3643.16
1432,3666.36
1433,3659.2
1434,3655.22
1435,3635.88
1436,3611.84
1437,3608.86
1438,3599.34
1439,3600.81
1440,3587.21
1441,3564.92
1442,3559.19
1443,3549.34
1444,3540.25
1445,3523.73
1446,3516.87
1447,3509.64
1448,3518.56
1449,3521.28
1450,3502.26
1451,3463.09
1452,3425.41
1453,3415.48
1454,3345.2
1455,3276.85
1456,3203.61
1457,3162.95
1458,3156.09
1459,3177.84
1500,3261.09
1501,3281.66
1502,3162.58
1503,3044.84
1504,2905.91
1505,2852.89
1506,2799.56
1507,2755.42
1508,2783.03
1509,2807.73
1510,2766.28
1511,2718.66
1512,2701.07
1513,2696.52
1514,2699.56
1515,2701.62
1516,2730.07
1517,2764.33
1518,2796.63
1519,2803.26
1520,2771.28
1521,2756.21
1522,2776.91
1523,2759
1524,2737.98
1525,2691.17
1526,2693.91
1527,2707.58
1528,2709.81
1529,2753.85
1530,2833.05
1531,2878.68
1532,2939.28
1533,2930
1534,2869.88
1535,2890.83
1536,2908.87
1537,2923.99
1538,2887.21
1539,2789.93
1540,2778.9
1541,2791.36
1542,2805.43
1543,2779.8
1544,2783.63
1545,2753.67
1546,2747.15
1547,2685.45
1548,2663.03
1549,2624.16
1550,2619.3
1551,2590.54
1552,2572.72
1553,2560.7
1554,2558.51
1555,2539.71
1556,2528.15
1557,2528.72
1558,2505.61
1559,2480.55
1600,2454.76
1601,2421.14
1602,2405.26
1603,2393.55
1604,2377.45
1605,2378.72
1606,2391.55
1607,2388.58
1608,2370.68
1609,2346.73
1610,2334.44
1611,2322.58
1612,2320.73
1613,2306.39
1614,2277.37
1615,2253.58
1616,2217.78
1617,2178.52
1618,2161.46
1619,2117.65
1620,2052.2
1621,2002.17
1622,1968.46
1623,1934.81
1624,1895.71
1625,1859.47
1626,1853.88
1627,1835.27
1628,1844.88
1629,1838.27
1630,1822.84
1631,1783.08
1632,1757.3
1633,1719.07
1634,1719.54
1635,1730.45
1636,1709.04
1637,1714.94
1638,1687.37
1639,1656.42
1640,1633.97
1641,1618.86
1642,1604.73
1643,1599.09
1644,1565.94
1645,1564.24
1646,1535.25
1647,1513.88
1648,1510.68
1649,1504.81
1650,1486.56
1651,1457.33
1652,1425.42
1653,1385.32
1654,1363.35
1655,1350.05
1656,1320.73
1657,1286.73
1658,1239.75
1659,1181.05
1700,1175.35
1701,1127.31
1702,1106.97
1703,1106.12
1704,1094.38
1705,1087.54
1706,1084.4
1707,1076.33
1708,1072.66
1709,1052.77
1710,1036.15
1711,1002.86
1712,976.6
1713,942.47
1714,912.66
1715,899.07
1716,862.31
1717,830.01
1718,793.29
1719,757.52
1720,727.5
1721,708.2
1722,684.97
1723,659.02
1724,651.17
1725,643.69
1726,631.44
1727,604.09
1728,583.59
1729,570.93
1730,564.28
1731,544.21
1732,534.34
1733,521.62
1734,511.75
1735,497.5
1736,484.48
1737,467.61
1738,457.25
1739,448.44
1740,432.24
1741,420.97
1742,402.86
1743,378.38
1744,359.72
1745,350.57
1746,334.04
1747,318.1
1748,304
1749,290.8
1750,281.15
1751,272.06
1752,265.52
1753,259.49
1754,251.13
1755,241.04
1756,227.66
1757,215.22
1758,203.36
1759,192.29
1800,184.96
1801,176.65
1802,166.04
1803,158.24
1804,151.51
1805,144.56
1806,135.96
1807,132.1
1808,122.12
1809,117.79
1810,110.18
1811,103.44
1812,96.66
1813,90.87
1814,83.69
1815,77.19
1816,70.45
1817,64.99
1818,58.85
1819,55.37
1820,50.08
1821,46.31
1822,40.18
1823,16.36
1824,13.74
1825,11.94
1826,10.07
1827,8.2
1828,6.77
1829,5.35
1830,4.15
1831,2.68
1832,1.96
1833,1.32
1834,1.11
1835,1.06
1836,0.98
1837,0.98
1838,0.98
1839,1.01
1840,0.16
1841,0.13
1842,0.1
1843,0.1
1844,0.1
1845,0.09
1846,0.1
1847,0.09
1848,0.1
1849,0.1
1850,0.09
1851,0.1
1852,0.08
1853,0.1
1854,0.09
1855,0.14
1856,0.15
1857,0.15
1858,0.15
1859,0.18
1900,0.17
