Time,output
400,0.2
401,0.2
402,0.2
403,0.21
404,0.2
405,0.21
406,0.22
407,0.22
408,0.22
409,0.21
410,0.22
411,0.21
412,0.21
413,0.2
414,0.21
415,0.2
416,0.22
417,0.2
418,0.22
419,0.21
420,0.2
421,0.2
422,0.2
423,0.22
424,0.22
425,0.21
426,0.21
427,0.21
428,0.2
429,0.21
430,0.21
431,0.21
432,0.22
433,0.21
434,0.21
435,0.21
436,0.19
437,0.2
438,0.22
439,0.2
440,0.2
441,0.21
442,0.2
443,0.21
444,0.21
445,0.21
446,0.2
447,0.22
448,0.21
449,0.22
450,0.22
451,0.21
452,0.22
453,0.22
454,0.22
455,0.23
456,0.21
457,0.21
458,0.2
459,0.19
500,0.18
501,0.17
502,0.14
503,0.14
504,0.17
505,0.21
506,0.41
507,0.54
508,0.51
509,0.84
510,1.03
511,2.06
512,3.85
513,8.38
514,12.55
515,16.57
516,20.09
517,23.49
518,25.28
519,26.3
520,26.47
521,26.42
522,26.89
523,26.1
524,25.23
525,24.37
526,23.77
527,23.86
528,25.51
529,27.34
530,29.77
531,32.09
532,37.3
533,50.23
534,60.95
535,64.41
536,66.86
537,75.7
538,76.9
539,76.41
540,83.98
541,83.71
542,82.49
543,83.5
544,93.27
545,94.73
546,96.42
547,99.17
548,102.49
549,105.05
550,97.5
551,113.42
552,118.8
553,125.99
554,134.06
555,142.34
556,146.95
557,149.68
558,150.41
559,150.47
600,150.77
601,153.91
602,157.25
603,158.24
604,160.22
605,166.52
606,172.71
607,179.88
608,183.56
609,187.26
610,193.85
611,203.3
612,215.85
613,230.66
614,243.64
615,256.82
616,272.26
617,285.16
618,295
619,304.48
620,316.31
621,335.43
622,354.08
623,369.48
624,381.34
625,389.35
626,394.8
627,398.92
628,402.33
629,409.89
630,419.82
631,433.82
632,448.43
633,461.41
634,473.76
635,489.96
636,505.19
637,526.5
638,551.21
639,570.83
640,578
641,590.42
642,577.16
643,562
644,556.04
645,553.63
646,553.66
647,552.78
648,551.08
649,550.91
650,549.03
651,545.88
652,540.01
653,535.39
654,532.1
655,535.58
656,546.61
657,556.35
658,573.1
659,599.74
700,632.05
701,660.27
702,682.64
703,700.94
704,721.2
705,737.37
706,756.76
707,787.5
708,805.54
709,833.31
710,853.35
711,869.8
712,886.1
713,899.53
714,899.04
715,881.4
716,867.94
717,866.59
718,876.21
719,892.83
720,897.79
721,899.82
722,934.64
723,986.33
724,995.07
725,993.79
726,991.41
727,1019.22
728,1049.24
729,982.76
730,968.35
731,939.55
732,916.97
733,955.7
734,972.54
735,996.17
736,1014.93
737,1049.9
738,992.03
739,951.54
740,938.53
741,863.59
742,850.01
743,837.63
744,853.02
745,877.64
746,946.53
747,1029.08
748,1041.04
749,1071.89
750,1148.47
751,1203.7
752,1222.79
753,1274.26
754,1337.69
755,1325.94
756,1338.92
757,1282.87
758,1252.51
759,1240.16
800,1203.34
801,1241.66
802,1255.03
803,1351
804,1456.82
805,1508.56
806,1552.91
807,1579.03
808,1566.06
809,1542.81
810,1488.43
811,1412.16
812,1375.91
813,1368.44
814,1358.8
815,1351.41
816,1337.07
817,1313.7
818,1286.89
819,1265.02
820,1235.87
821,1208.76
822,1189.82
823,1194.35
824,1203.86
825,1206.73
826,1157.3
827,1129.56
828,1130.44
829,1177.96
830,1252.1
831,1358.85
832,1507.21
833,1660.66
834,1731.67
835,1699.54
836,1629.03
837,1745.12
838,1797.12
839,1893.47
840,2061.97
841,2063.49
842,2104.6
843,2173.92
844,2374.4
845,2459.96
846,2470.93
847,2127.81
848,2042.69
849,1961.33
850,1917.9
851,1922.07
852,2056.55
853,2166.59
854,2071.49
855,2234.25
856,2100.01
857,2040.62
858,1862.06
859,1744.76
900,1710.49
901,1703.04
902,1736.99
903,1740.8
904,1746.18
905,1796.51
906,1864.72
907,1874.73
908,1963.49
909,1953.27
910,1994.32
911,1962.27
912,1925.78
913,1808.39
914,1661.57
915,1584.8
916,1631.63
917,1447.32
918,1461.9
919,1615.83
920,1678.45
921,1793.14
922,1683.97
923,1620.32
924,1624.14
925,1558.8
926,1533.99
927,1574.43
928,1556.68
929,1551.86
930,1556.56
931,1553.49
932,1584.23
933,1684.66
934,1773.08
935,1755.67
936,1801.19
937,1704.48
938,1619.72
939,1571.92
940,1535.39
941,1489.43
942,1487.17
943,1434.33
944,1429.59
945,1425.88
946,1437.63
947,1474.95
948,1574.69
949,1712.27
950,1885.32
951,1904.34
952,1800.78
953,1775.68
954,1800.49
955,1827.01
956,1874.95
957,1947.61
958,1973.42
959,1923.23
1000,1931.96
1001,1892.11
